datum,gewicht
31.12.25,102.7
01.01.26,103.2
02.01.26,102.5
03.01.26,102.5
04.01.26,102.9
05.01.26,102.8
06.01.26,102.5
07.01.26,101.8
08.01.26,101.9
09.01.26,102.1
10.01.26,102.4
11.01.26,102.5
12.01.26,104.1
13.01.26,102.4
14.01.26,101.6
15.01.26,102.5
16.01.26,102.4
17.01.26,102.5
18.01.26,102.7
19.01.26,102.8
20.01.26,101.4
21.01.26,101.9
22.01.26,103.4
23.01.26,102.7
24.01.26,102.9
25.01.26,103.0
26.01.26,102.8
27.01.26,101.6
28.01.26,101.7
29.01.26,103.0
30.01.26,102.4
31.01.26,103.7
01.02.26,102.9
02.02.26,103.1
03.02.26,102.4
04.02.26,101.3
05.02.26,101.6
06.02.26,102.1
07.02.26,101.5
08.02.26,102.5
09.02.26,102.6
10.02.26,102.1
11.02.26,101.5
12.02.26,101.8
13.02.26,102.4
14.02.26,102.9
15.02.26,102.9
16.02.26,102.0
17.02.26,101.2
18.02.26,100.8
19.02.26,100.8
20.02.26,100.9
21.02.26,101.5
22.02.26,101.8
23.02.26,101.4
24.02.26,101.3
25.02.26,100.4
26.02.26,102.4
27.02.26,101.7
28.02.26,102.1
01.03.26,103.2
02.03.26,102.5
03.03.26,101.4
04.03.26,100.5
05.03.26,101.1
06.03.26,101.6
07.03.26,102.0
08.03.26,102.0
09.03.26,102.2
